,キャラ名,台詞,立ち絵,SE,BGM,画面オブジェクト,画面効果,エフェクト,背景
87,朝陽,寝る前とかに思い出しちゃいそう！,A-05,,,,,,
88,星南,……あ、部長。そろそろ時間ですけど、どうしますか？,S-01,,,,,,
89,睦月,あれ、もうこんな時間か。,M-01,,,,,,
90,睦月,そうだね、ちょうどいいし今日は解散にしよう,M-01,,,,,,
91,京也,俺、ちょっと一人で帰るの怖いんですけど……みんなで一緒に帰りませんか？,K-02,,,,,,
92,星南,せっかくだし、駅までみんなで帰ろうか,S-01,,,,,,
93,朝陽,さんせーい！私も一人では帰りたくないし！,A-01,,,,暗転,,
94,朝陽,……あれ？,A-04,,,,,,
95,朝陽,うそ、閉まってる！？,A-06,,,,,,
96,星南,まだそんな時間じゃないのに？,S-04,,,,,,
97,睦月,うーん、仕方ないね……職員室に行って、先生に開けてもらおう,M-02,,,,,,
98,京也,この時間なら先生はいるはずですからね。行ってみましょう,K-01,,,,,,
99,朝陽,……ん？,A-01,,,,,,
100,星南,朝陽、どうしたの？,S-01,,,,,,
101,朝陽,いま、廊下の奥でなにか動かなかった？,A-05,,,,,,
102,睦月,他にも残ってる人がいたのか？ちょっと声をかけてくるよ,M-01,,,,,,
103,京也,…………待ってください、部長……,K-03,,,,,,
104,星南,京也？どうしたの、震えてるけど,S-04,,,,,,
105,京也,あれ、人間じゃない……足が……下半身が、ない……,K-05,,,,,,
106,睦月,え……？,M-04,,,,,,
107,朝陽,あいつ、こっちに来てる！みんな、逃げよう！,A-07,,,,,,
108,星南,でも……逃げるってどこに！？,S-07,,,,,,
109,睦月,……部室だ。みんな、とりあえず部室まで走れ！,M-03,,,,暗転,,
110,京也,……はぁ…………あいつは……？,K-02,,,,,,
111,星南,ひっ……外にいる……,S-07,,,,,,
112,朝陽,でも、入ってこない……？,A-05,,,,,,
113,睦月,やっぱり……,M-02,,,,,,
114,京也,部長？,K-04,,,,,,
115,睦月,あいつには下半身がないだろう。,M-03,,,,,,
116,睦月,だから、もしかしたらドアを開けることができないんじゃないかと思ったんだけど……どうやら、読みは当たったみたいだね,M-03,,,,,,
117,朝陽,部長！さすが、あの状況でもそんなことまで考えてたなんて……,A-02,,,,,,
118,星南,……でも、このままここにいてもどうにもならない,S-05,,,,,,
119,睦月,そうだね、まずはどうにかしてここから出る術を見つけないと……,M-02,,,,,,
120,京也,だけど思い当たることなんて…………あ！,K-03,,,,,,
121,朝陽,京也？,A-04,,,,,,
122,京也,さっき部誌で読んだ、さっちゃんの4番……もしかして、あれのせいであいつがでてきたんじゃ……,K-02,,,,,,
123,朝陽,いやいや、確かに怪異ではあるけどさっちゃんとは関係ないでしょ。さっきのあれ、特徴からして多分……テケテケだと思うし,A-05,,,,,,
124,睦月,いや、関係がないとは言い切れない。,M-03,,,,,,
125,朝陽,え？,A-04,,,,,,
126,睦月,テケテケと怪異としてのさっちゃんは、どちらも下半身がないと言われている,M-03,,,,,,
127,睦月,今回あいつ……テケテケが出てきたことには、僕たちがさっちゃんの4番を声に出して読んでしまったことが関係しているのかもしれない,M-02,,,,,,
128,星南,でも……そっか。それなら、調べたら対処法も見つかるかも,S-05,,,,,,
129,京也,(俺のせいだ……俺が、みんなに歌詞を見せちゃったから……),K-02,,,,,,
130,京也,(少しでも役に立たないと),K-03,,,,,,
131,京也,じゃあ、俺が学校内を探索してきます,K-03,,,,,,
132,星南,えっ？,S-07,,,,,,
133,朝陽,ちょっと京也、正気？あいつに追いつかれたらどうなるかわからないんだよ？,A-07,,,,,,
134,京也,図書室には都市伝説や怪異をまとめた本なんかもありますし、きっとなにか見つかるはずです！,K-03,,,,,,
135,京也,……少なくとも、ここにいるよりは,K-02,,,,,,
136,睦月,でも、さすがに危険すぎる,M-02,,,,,,
137,京也,大丈夫ですって！さっきのであいつはドアを開けられないってわかりましたし,K-01,,,,,,
138,京也,俺は足が速いほうなので……危なくなったらすぐ教室に逃げ込みます,K-01,,,,,,
139,星南,……じゃあ、私も探索しに行く,S-05,,,,,,
140,朝陽,星南まで！？……わかった、じゃあ私も行くよ……後輩にばっかまかせてられないし,A-05,,,,,,
141,睦月,はぁ……仕方ない。,M-02,,,,,,
142,睦月,僕だけここに残るわけにもいかない、各自探索に行こう,M-03,,,,,,
143,京也,待ってください！俺は……,K-02,,,,,,
144,星南,京也のことだし、変に責任とか感じてるんでしょ,S-05,,,,,,
145,京也,え、なんで知って…………あっ,K-04,,,,,,
146,朝陽,ほらやっぱり。言っておくけど、全員で読んじゃったんだし共犯でしょ,A-04,,,,,,
147,朝陽,なんなら部誌を読もうとか言いだしたのは部長だし？,A-01,,,,,,
148,睦月,あはは、耳が痛いなぁ……,M-01,,,,,,
149,朝陽,冗談ですって、部長。とにかく、みんなで手分けして探せば早いでしょ？,A-02,,,,,,
150,京也,わかりました。その……ありがとうございます,K-01,,,,,,
151,睦月,それじゃあ……ひとまず、一時間だ。一時間経ったら部室に集合しよう,M-01,,,,,,
152,睦月,もちろん、もしあいつに会ったら安全第一で。すぐに近くの教室に逃げ込むんだ,M-01,,,,,,
153,京也,わかりました！,K-01,,,,,,
